Timestamp,Pulley Location,Belt Tension,Speed,Material,Vibration,Temperature,Acoustic,Problem Label
01-01-2024,Bend Pulley,317,2.944971176164042,Limestone,1.4595035975721506,50,72,Loose Belt
02-01-2024,Head Pulley,204,4.9480708645200675,Limestone,0.8242150942461024,50,68,Groove Damage
03-01-2024,Tail Pulley,551,3.1973525591851026,Limestone,1.3544793624971785,32,70,Loose Belt
04-01-2024,Bend Pulley,442,5.162765400206551,Sand,0.5850996794235868,57,78,Excessive Wear
05-01-2024,Bend Pulley,220,3.491752213582425,Iron Ore,1.305178244336466,51,75,Excessive Wear
06-01-2024,Head Pulley,351,3.095346459359023,Sand,0.17544158779802954,39,79,Excessive Wear
07-01-2024,Bend Pulley,327,4.501555708362806,Steel,1.4749264445340031,48,69,Loose Belt
08-01-2024,Bend Pulley,323,1.7927003950720084,Steel,1.3768481138466238,43,56,Groove Damage
09-01-2024,Bend Pulley,345,1.8579135319296696,Iron Ore,0.6084841226873169,47,54,Groove Damage
10-01-2024,Bend Pulley,476,4.107894855691843,Sand,1.1846110314404084,52,51,Bearing Failure
11-01-2024,Head Pulley,509,3.447762852956993,Iron Ore,1.1531610970633566,55,68,Misalignment
12-01-2024,Bend Pulley,593,4.6616610012768405,Iron Ore,1.3617567159441044,32,73,Groove Damage
13-01-2024,Bend Pulley,351,5.165083349374125,Sand,0.5301569735803355,58,52,Excessive Wear
14-01-2024,Tail Pulley,559,3.053467511,Steel,0.7517280074398093,49,64,Bearing Failure
15-01-2024,Head Pulley,310,3.885640106338585,Sand,1.3109994576484743,43,56,Groove Damage
16-01-2024,Bend Pulley,315,3.5027865111812395,Steel,1.1900112357893025,40,54,Groove Damage
17-01-2024,Tail Pulley,387,5.4264426225697315,Coal,0.6508534062363908,39,72,Misalignment
18-01-2024,Head Pulley,256,4.824337629426381,Coal,1.2840153260769709,53,59,Misalignment
19-01-2024,Bend Pulley,450,5.146950833109415,Coal,0.16573565492536207,43,58,Misalignment
20-01-2024,Tail Pulley,583,2.5173603503104167,Limestone,1.1948648241481863,30,72,Groove Damage
21-01-2024,Head Pulley,349,4.590105692650377,Steel,0.3894722032071809,45,63,Groove Damage
22-01-2024,Bend Pulley,361,2.5618928999905957,Steel,0.5005692709533021,54,71,Excessive Wear
23-01-2024,Tail Pulley,319,2.3349701337135595,Sand,0.790500781,59,77,Loose Belt
24-01-2024,Head Pulley,269,5.277064638622203,Steel,0.7296283014979634,35,62,Misalignment
25-01-2024,Tail Pulley,550,1.5772176668714666,Sand,0.8287981496178333,47,50,Excessive Wear
26-01-2024,Tail Pulley,298,5.361554814653719,Limestone,0.8626858339408333,45,65,Excessive Wear
27-01-2024,Bend Pulley,366,2.097047587955225,Sand,0.5641387674440956,48,69,Bearing Failure
28-01-2024,Tail Pulley,497,4.777752327173072,Coal,0.34531851822384196,45,57,Excessive Wear
29-01-2024,Bend Pulley,350,2.6036902122724124,Sand,1.1758737210022283,34,66,Misalignment
30-01-2024,Bend Pulley,525,2.9028093097229095,Sand,0.6599666087219989,56,55,Loose Belt
31-01-2024,Tail Pulley,201,2.367030845,Sand,0.8081772074426825,41,51,Excessive Wear
01-02-2024,Tail Pulley,351,3.8420561699243185,Steel,1.0025754056915652,35,62,Groove Damage
02-02-2024,Tail Pulley,564,2.8923821900314963,Iron Ore,1.3734930912293184,54,74,Groove Damage
03-02-2024,Tail Pulley,264,4.129572157978653,Iron Ore,1.0905739635963079,31,57,Excessive Wear
04-02-2024,Head Pulley,525,1.562589271768264,Iron Ore,0.16364291582653834,45,74,Misalignment
05-02-2024,Bend Pulley,268,1.7574995340601585,Steel,1.2739845087572248,50,58,Loose Belt
06-02-2024,Tail Pulley,320,1.8986446109249946,Coal,1.4850970211785268,52,79,Loose Belt
07-02-2024,Head Pulley,308,3.1759747412409243,Iron Ore,0.7614790355199349,40,62,Misalignment
08-02-2024,Tail Pulley,515,4.759184690639904,Iron Ore,1.457426471036441,41,67,Groove Damage
09-02-2024,Head Pulley,446,5.052711641513531,Limestone,0.8662602392804092,40,67,Groove Damage
10-02-2024,Bend Pulley,292,2.479242960243603,Limestone,0.7434623942207297,52,58,Bearing Failure
11-02-2024,Tail Pulley,467,3.797478896956056,Coal,0.5639666706184371,49,51,Excessive Wear
12-02-2024,Head Pulley,302,4.5734599707704024,Sand,1.0205768261666743,48,53,Excessive Wear
13-02-2024,Head Pulley,311,2.6553177196784348,Sand,0.4217485887350624,58,67,Groove Damage
14-02-2024,Bend Pulley,520,3.136030946945093,Limestone,0.24690790592016604,37,66,Excessive Wear
15-02-2024,Tail Pulley,503,3.5958968107428557,Limestone,0.1381319436178997,58,61,Misalignment
16-02-2024,Tail Pulley,543,2.039499385632191,Coal,0.5093321578013692,47,65,Loose Belt
17-02-2024,Bend Pulley,261,1.6039291749031213,Coal,0.6540791650338534,34,62,Bearing Failure
18-02-2024,Bend Pulley,499,2.111223237273133,Steel,0.8729073747937468,41,60,Misalignment
19-02-2024,Bend Pulley,335,4.0074144850141336,Sand,0.509849755,39,63,Misalignment
20-02-2024,Head Pulley,254,1.7944730461347267,Steel,1.4776834013395757,44,59,Misalignment
21-02-2024,Head Pulley,307,2.2587854594005132,Iron Ore,0.5084432355376346,34,72,Excessive Wear
22-02-2024,Bend Pulley,502,2.851415542781215,Coal,0.7173655438249721,46,77,Loose Belt
23-02-2024,Tail Pulley,457,1.8114802572254654,Sand,0.24458663174466047,52,76,Bearing Failure
24-02-2024,Head Pulley,452,2.2667970846465377,Sand,0.46487711867190584,33,70,Groove Damage
25-02-2024,Bend Pulley,421,5.145079155934044,Steel,0.16766499570458754,55,68,Misalignment
26-02-2024,Head Pulley,568,1.577196528907939,Limestone,0.8833120868122591,41,73,Misalignment
27-02-2024,Head Pulley,366,4.113727696697449,Limestone,1.1514905563854043,47,70,Misalignment
28-02-2024,Bend Pulley,359,3.0376357236607396,Coal,0.37399374007049513,37,66,Groove Damage
29-02-2024,Tail Pulley,365,4.190594957729484,Limestone,0.6150753129424991,49,58,Excessive Wear
01-03-2024,Tail Pulley,404,3.8547668814536182,Iron Ore,0.1232627174180248,46,63,Excessive Wear
02-03-2024,Head Pulley,466,2.393995017418577,Sand,1.2753308780110968,37,79,Loose Belt
03-03-2024,Tail Pulley,337,4.888837950293555,Limestone,1.1919489349043373,42,54,Excessive Wear
04-03-2024,Tail Pulley,567,3.4677615304374267,Coal,0.18855564322400933,56,52,Excessive Wear
05-03-2024,Bend Pulley,545,4.7901440756538864,Iron Ore,0.6108146530485757,52,71,Bearing Failure
